último dia útil;Ano;Bovespa;Selic a.a
30/12/1999;1999;17091,6;0,190398869
28/12/2000;2000;15259,29;0,158399619
28/12/2001;2001;13577,57;0,190500797
30/12/2002;2002;11268,47;0,248998817
30/12/2003;2003;22236,39;0,163299582
30/12/2004;2004;26196,25;0,177500789
29/12/2005;2005;33455,94;0,180499619
28/12/2006;2006;44473,71;0,131900521
28/12/2007;2007;63886;0,11180132
30/12/2008;2008;37550;0,136700288
30/12/2009;2009;68588;0,086500936
30/12/2010;2010;69305;0,106699192
29/12/2011;2011;56754;0,109099254
28/12/2012;2012;60952;0,072901022
30/12/2013;2013;51507;0,0990011
30/12/2014;2014;50007;0,116499319
30/12/2015;2015;43350;0,1415002
29/12/2016;2016;60227;0,136499893
28/12/2017;2017;76402;0,06899963
28/12/2018;2018;87887,27;0,063999333
30/12/2019;2019;115645,34;0,04400116
30/12/2020;2020;119017,24;0,018999412
30/12/2021;2021;104822,44;0,091499315
29/12/2022;2022;109734,6;0,136499893
28/12/2023;2023;134185,24;0,116499319
30/12/2024;2024;120283,4;0,121499543
