Vertices;ETTJ IPCA;ETTJ PREF;Inflação Implícita
126;9,166;14,5264;4,9103
252;8,6781;14,7047;5,5453
378;8,275;14,6167;5,857
504;8,069;14,5224;5,9715
630;7,9527;14,4796;6,046
756;7,8797;14,4852;6,123
882;7,8298;14,5228;6,207
1.008;7,7932;14,577;6,2933
1.134;7,7647;14,6366;6,3767
1.260;7,7412;14,6943;6,4535
1.386;7,721;14,7455;6,521
1.512;7,7031;14,7877;6,5778
1.638;7,6866;14,8198;6,624
1.764;7,6713;14,8414;6,6592
1.890;7,6568;14,8526;6,684
2.016;7,6429;14,8539;6,699
2.142;7,6295;14,8459;6,7048
2.268;7,6165;14,8293;6,7023
2.394;7,604;14,805;6,6921
2.520;7,5918;;
2.646;7,5799;;
2.772;7,5684;;
2.898;7,5572;;
3.024;7,5464;;
3.150;7,5358;;
3.276;7,5256;;
3.402;7,5157;;
3.528;7,5061;;
3.654;7,4968;;
3.780;7,4878;;
3.906;7,4792;;
4.032;7,4708;;
4.158;7,4626;;
4.284;7,4548;;
4.410;7,4472;;
4.536;7,4399;;
4.662;7,4329;;
4.788;7,4261;;
4.914;7,4195;;
5.040;7,4132;;
5.166;7,4071;;
5.292;7,4012;;
5.418;7,3955;;
5.544;7,39;;
5.670;7,3847;;
5.796;7,3795;;
5.922;7,3746;;
6.048;7,3698;;
6.174;7,3652;;
6.300;7,3607;;
6.426;7,3564;;
6.552;7,3522;;
6.678;7,3482;;
6.804;7,3443;;
6.930;7,3405;;
7.056;7,3369;;
7.182;7,3334;;
7.308;7,3299;;
7.434;7,3266;;
7.560;7,3234;;
7.686;7,3203;;
7.812;7,3172;;
7.938;7,3143;;
8.064;7,3115;;
8.190;7,3087;;
8.316;7,306;;
8.442;7,3034;;
8.568;7,3009;;
8.694;7,2984;;
