Data;PIB - produção - R$ - Instituto Brasileiro de Geografia e Estatística, Sistema de Contas Nacionais (IBGE/SCN Anual) - SCN10_VBPN10;
1990;22,309436;
1991;111,421206545455;
1992;1271,88019018182;
1993;29306,8123636364;
1994;653189,668;
1995;1113351,626;
1996;1323410,847;
1997;1479024,268;
1998;1554646,328;
1999;1705027,441;
2000;2087736,773;
2001;2321429,36599999;
2002;2649562,372;
2003;3147295,79;
2004;3599570,89999999;
2005;3982323,744;
2006;4339196,994;
2007;4858731,829;
2008;5588058,652;
2009;5800044,35000002;
2010;6599149;
2011;7438007;
2012;8223178;
2013;9105053;
2014;9887604;
2015;10226869;
2016;10542067;
2017;11020413;
2018;12010010;
2019;12741791;
2020;13306199;
2021;16581873;
2022;19183532,337;
