data;Taxa de Câmbio;Reservas Internacionais
28/12/1998;1,2076;47942
29/12/1998;1,2076;47722
30/12/1998;1,2075;46955
31/12/1998;1,2079;44556
04/01/1999;1,207;44212
05/01/1999;1,2077;44410
06/01/1999;1,2088;44422
07/01/1999;1,2093;44419
08/01/1999;1,2096;44435
11/01/1999;1,2101;44421
12/01/1999;1,2106;43825
13/01/1999;1,3185;43706
14/01/1999;1,3186;41648
15/01/1999;1,4651;39705
18/01/1999;1,5376;39745
19/01/1999;1,5572;36864
20/01/1999;1,5727;36944
21/01/1999;1,6594;36820
22/01/1999;1,7041;36820
25/01/1999;1,7598;36836
26/01/1999;1,8762;36171
27/01/1999;1,8878;36151
28/01/1999;1,9198;36110
29/01/1999;1,9824;36136
01/02/1999;1,963;36112
02/02/1999;1,7972;35892
03/02/1999;1,7701;35918
04/02/1999;1,8132;35911
05/02/1999;1,8309;35948
08/02/1999;1,8601;35931
09/02/1999;1,9325;35928
10/02/1999;1,8945;35835
11/02/1999;1,886;35831
12/02/1999;1,8976;35825
17/02/1999;1,9171;35823
18/02/1999;1,9021;35787
19/02/1999;1,92;35774
22/02/1999;1,9348;35757
23/02/1999;2,012;35738
24/02/1999;2,0025;35705
25/02/1999;2,0343;35687
26/02/1999;2,064;35457
01/03/1999;2,0276;35328
02/03/1999;2,13;35093
03/03/1999;2,1639;35028
04/03/1999;2,1014;34799
05/03/1999;1,9926;34588
08/03/1999;1,97;34572
09/03/1999;1,9048;34537
10/03/1999;1,8623;35502
11/03/1999;1,8776;35423
12/03/1999;1,9043;35139
15/03/1999;1,8817;34641
16/03/1999;1,8513;34355
17/03/1999;1,8769;34386
18/03/1999;1,8588;34398
19/03/1999;1,8499;34317
22/03/1999;1,8607;34402
23/03/1999;1,8508;34391
24/03/1999;1,842;34198
25/03/1999;1,8092;34210
26/03/1999;1,7742;34415
29/03/1999;1,7647;34510
30/03/1999;1,7326;34554
31/03/1999;1,7212;33848
05/04/1999;1,7243;34143
06/04/1999;1,7306;39247
07/04/1999;1,7287;38944
08/04/1999;1,7198;38909
09/04/1999;1,7082;43828
12/04/1999;1,7046;44005
13/04/1999;1,6712;44247
14/04/1999;1,6567;43100
15/04/1999;1,668;43361
16/04/1999;1,6692;43224
19/04/1999;1,6713;42839
20/04/1999;1,7093;42457
22/04/1999;1,7006;42198
